Date Reported,Company,Product,Reason,Severity Class,Status,State
20260715,ONESOURCE SPECIALTY PHARMA LIMITED,"Methohexital Sodium for Injection, USP 500 mg Multiple Dose Vial, Rx Only, Manufactured by: OneSource Specialty, Pharma Limited, Bengaluru - 561 203, India, Manufactured for: Avet Pharmaceuticals Inc., East Brunswick, NJ 08816, NDC 23155-893-31",Failed Impurities/Degradation Specifications,Class II,Ongoing,N/A
20260715,Gasco Industrial Corp.,"Gasco Isopropyl Alcohol 70%, Net Contents: 1 US Gallon (3.78 L), Manufactured by: Gasco Industrial Corp., PO Box 1360, Gurabo, PR 00778, Made in USA",Subpotent drug,Class II,Ongoing,PR
20260715,Gasco Industrial Corp.,"Gasco Isopropyl Alcohol 70%, 32 oz (946 mL) Gasco Industrial Corp., PO Box 1360, Gurabo PR 00778, UPC 7 87302 12363 6.",Subpotent drug,Class II,Ongoing,PR
20260715,Gasco Industrial Corp.,"Drogueria San Juan Puerto Rico Isopropyl Alcohol 70%, 32 oz., 946 mL, Distributed by: Drogueria San Juan, Calle De Diego 590, Sabana Llana Rio Piedras, PR 00924, UPC 659685696567.",Subpotent drug,Class II,Ongoing,PR
20260715,Shimoga Chemicals,"Clomiphene Citrate USP Active Pharmaceutical Ingredient (CAS : 50-41-9), Net Weight a)1 KG (NDC 84849-000-01), b) 500 g (NDC 84849-000-02), (c) 100 g (NDC 84849-000-03), Rx Only, Shimoga Chemicals Address -W-57A, MIDC Kupwad Samgli, Maharashtra, 416436, India.",cGMP deviations,Class II,Ongoing,N/A
20260715,Reliance Life Sciences Private Limited,"Pemetrexed for Injection 500mg/Vial, 1 50 mL Single-Dose Vial per carton, For intravenous use only, Rx only,  Manufactured for: Somerset Therapeutics, LLC., Somerset, NJ 08873 NDC: 70069-0835-01",Lack of Sterility Assurance,Class II,Ongoing,N/A
20260715,Gasco Industrial Corp.,"Gasco Isopropyl Alcohol 70%, Net Contents: 16 Oz. (474 mL). Manufactured by: Gasco Industrial Corp., PO Box 1360 Gurabo PR 00778 Made in USA UPC 7 87302 13044 3",Subpotent drug,Class II,Ongoing,PR
20260715,Gasco Industrial Corp.,"Drogueria San Juan Puerto Rico Isopropyl Alcohol 70%, 1 gallon (3.78 liter), Distributed by: Drogueria San Juan, Calle De Diego 590, Sabana LLana Rio Piedras, PR 00924",Subpotent drug,Class II,Ongoing,PR
20260715,Reliance Life Sciences Private Limited,"Bortezomib for Injection 3.5mg/Vial, 10 mL per Single-Dose Vial, For Intravenous or Subcutaneous Use, Manufactured for: Somerset Therapeutics, LLC., Somerset, NJ 08873. NDC: 70069-0836-01",Lack of Sterility Assurance,Class II,Ongoing,N/A
20260715,Reliance Life Sciences Private Limited,"Pemetrexed for Injection 100mg/Vial, 1 10 mL Single-Dose Vial per carton, For intravenous use only, Rx only,  Manufactured for: Somerset Therapeutics, LLC., Somerset, NJ 08873 NDC: 70069-0834-01",Lack of Sterility Assurance,Class II,Ongoing,N/A
