Date Reported,Company,Product,Reason,Severity Class,Status,State
20260708,"CareFusion 213, LLC","BD ChloraPrep Hi-Lite Orange, (2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol (IPA)), packaged as a) 100 x 10.5 mL applicators/case, NDC 54365-400-35, Catalog Number: 930715NS; b) 100 x 10.5 mL applicators/case, Catalog Number bulk 930715NSB, NDC 54365-400-35; STERILE SOLUTION, CAREFUSION 213, LLC, EL PASO, TX 79912, subsidiary of Beckton, Dickson and Co.","Lack of assurance of sterility: Unsterilized ChloraPrep & PurPrep Applicators, intended for further processing and sterilization were instead distributed to customers outside of the intended distribution channel",Class II,Ongoing,TX
20260708,"CareFusion 213, LLC","ChloraPrep FREPP, Clear, (2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol) 500 x 1.5 mL applicators/case, STERILE SOLUTION, CareFusion 123, LLC, El Paso, TX, subsidiary of Beckton, Dickson and Co. NDC 54365-400-30, Catalog number 930599NSB","Lack of assurance of sterility: Unsterilized ChloraPrep & PurPrep Applicators, intended for further processing and sterilization were instead distributed to customers outside of the intended distribution channel",Class II,Ongoing,TX
20260708,"Cipla USA, Inc.","Cinacalcet Hydrochloride Tablets, 30 mg, 30-count bottle, Rx Only, Manufactured by: Cipla Ltd., MIDC, Patalganga, India; Manufactured for: Cipla USA, Inc., 10 Independence Boulevard, Suite 300, Warren, NJ 07059, NDC 69097-410-02","cGMP Deviations: presence of N-nitroso-cinacalcet, above the acceptable daily intake (ADI).",Class II,Ongoing,NJ
20260708,Asclemed USA Inc.,"Accucaine, Kit contains: Lidocaine HCl Injection USP, 1% (10 mg/mL), 5 mL single dose ampule, Rx Only, Distributed by Enovachem Pharmaceuticals, Torrance, CA 90501, NDC: 76420-715-01.",Lack of Assurance of Sterility,Class II,Ongoing,CA
20260708,"CareFusion 213, LLC","BD ChloraPrep CLear, (2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol) 100 x 10.5 mL Applicators/case, STERILE SOLUTION, CareFusion 123, LLC, El Paso, TX, subsidiary of Beckton, Dickson and Co. NDC 54365-400-34, catalog number 930700NS.","Lack of assurance of sterility: Unsterilized ChloraPrep & PurPrep Applicators, intended for further processing and sterilization were instead distributed to customers outside of the intended distribution channel",Class II,Ongoing,TX
20260708,"CareFusion 213, LLC","BD ChloraPrep CLear, (2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol),500 x 1 mL applicators/case,  STERILE SOLUTION, CareFusion 123, LLC, El Paso, TX, subsidiary of Beckton, Dickson and Co. NDC 54365-400-31, bulk catalog number 930480NSB","Lack of assurance of sterility: Unsterilized ChloraPrep & PurPrep Applicators, intended for further processing and sterilization were instead distributed to customers outside of the intended distribution channel",Class II,Ongoing,TX
20260708,Lupin Pharmaceuticals Inc.,"prednisoLONE Acetate Ophthalmic Suspension, USP, 1%, Rx only, Sterile, a) 5 mL (NDC 70748-332-02); b) 10 mL (NDC 70748-332-03), c) 15 mL (70748-332-04), Manufactured by: Lupin Limited, Pithampur (M.P) 454 775, INDIA",Presence of Foreign Substance,Class II,Ongoing,FL
20260708,"CareFusion 213, LLC","BD ChloraPrep Scrub Teal, (2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol) packaged as a) 25 x 26 mL applicators/case, NDC 54365-400-39, catalog number 930825NS, b)  50 x 26 mL applicators/case, NDC 54365-400-39, bulk catalog number 930825NSB; STERILE SOLUTION, CareFusion 123, LLC, El Paso, TX, subsidiary of Beckton, Dickson and Co.","Lack of assurance of sterility: Unsterilized ChloraPrep & PurPrep Applicators, intended for further processing and sterilization were instead distributed to customers outside of the intended distribution channel",Class II,Ongoing,TX
20260708,"ACCORD HEALTHCARE, INC.","Levothyroxine Sodium Tablets, USP, 300 mcg (0.3mg), 90 Tablets bottles, Rx only, Manufactured for: Accord Healthcare, Inc., Raleigh, NC 27617, Manufactured by: lntas Pharmaceuticals Limited, Camp Road, Selaqui, Dehradun-248 197, INDIA, NDC 16729-458-15.",Subpotent Drug,Class II,Ongoing,NC
20260708,"CareFusion 213, LLC","BD PurPrep,  (Povidone-iodine 8.3% w/w (0.83% available iodine) with isopropyl alcohol 72.5% w/w), 50 x 26 mL Applicator/case, STERILE SOLUTION, CAREFUSION 213, LLC, EL PASO, TX 79912, subsidiary of Beckton, Dickson and Co, Catalog Number 960120NSB; NDC 54365-014-42.","Lack of assurance of sterility: Unsterilized ChloraPrep & PurPrep Applicators, intended for further processing and sterilization were instead distributed to customers outside of the intended distribution channel",Class II,Ongoing,TX
20260708,"Cipla USA, Inc.","Cinacalcet Hydrochloride Tablets, 90 mg, 30-count bottle, Rx Only, Manufactured by: Cipla Ltd., MIDC, Patalganga, India; Manufactured for: Cipla USA, Inc., 10 Independence Boulevard, Suite 300, Warren, NJ 07059, NDC 69097-412-02","cGMP Deviations: presence of N-nitroso-cinacalcet, above the acceptable daily intake (ADI).",Class II,Ongoing,NJ
20260708,"Cipla USA, Inc.","Cinacalcet Hydrochloride Tablets, 60 mg, 30-count bottle, Rx Only, Manufactured by: Cipla Ltd., MIDC, Patalganga, India; Manufactured for: Cipla USA, Inc., 10 Independence Boulevard, Suite 300, Warren, NJ 07059, NDC 69097-411-02","cGMP Deviations: presence of N-nitroso-cinacalcet, above the acceptable daily intake (ADI).",Class II,Ongoing,NJ
20260708,Asclemed USA Inc.,"Lidocaine HCl Injection USP, 1% (10 mg/mL), 5 mL single dose ampule, Rx Only, Distributed by Enovachem Pharmaceuticals, Torrance, CA 90501, NDC: 85766-187-01.",Lack of Assurance of Sterility,Class II,Ongoing,CA
20260708,ACCORD BIOPHARMA INC,"IMULDOSA, (ustekinumab-srlf) Injection, 130 mg/26 mL (5mg/mL), Rx only, Single dose vial, Manufactured by Accord BioPharma Inc., 8041 Arco corporate Drive, Suite 200, Raleigh, NC 27617, USA, Manufactured at: Catalent Indiana, LLC, 1300 S. Patterson Drive, Bloomington, IN 47403, USA, NDC 69448-019-26.",Lack of assurance of Sterility:,Class II,Ongoing,NC
20260708,"CareFusion 213, LLC","BD ChloraPrep Hi-Lite Orange, (2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol) packaged as a) 100 x 3 mL applicators/case, NDC 54365-400-33, calatog 930415NS: b) 250 x 3mL applicators/case, bulk catalog number 930415NSB; STERILE SOLUTION, CareFusion 123, LLC, El Paso, TX, subsidiary of Beckton, Dickson and Co.","Lack of assurance of sterility: Unsterilized ChloraPrep & PurPrep Applicators, intended for further processing and sterilization were instead distributed to customers outside of the intended distribution channel",Class II,Ongoing,TX
20260708,"CareFusion 213, LLC","BD ChloraPrep Scrub Teal, (2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol) packaged as a) 100 x 10.5 mL Applicators/case, NDC 54365-400-36, catalog number 930725NS; b) 100 x 10.5 mL Applicators/case, bulk catalog number 930725NSB; STERILE SOLUTION, CareFusion 123, LLC, El Paso, TX, subsidiary of Beckton, Dickson and Co.","Lack of assurance of sterility: Unsterilized ChloraPrep & PurPrep Applicators, intended for further processing and sterilization were instead distributed to customers outside of the intended distribution channel",Class II,Ongoing,TX
